序号,MD5,名称,介绍,模型UID,模型参数及说明,是否有示例数据（资源）,display_name_en
1,6d5b39c521ff401cf5be921180e1c151,1978Texas冬小麦产量区域尺度的估计,,16488859-aaab-4b71-80b2-57bd214dffd5,"输入: a-回归系数(REAL), b-回归系数(REAL), c-回归系数(REAL), y-农业气象学模型的估计结果(REAL), I_green-MSS数据得到的绿度指数值(REAL) | 输出: double-小麦产量(REAL)",,1978 Texas Winter Wheat Yield Estimation
913,42d9eb0391142a8b407964674be9dfce,系统信噪比模型,,257be0c5-8774-4031-b88a-6caf464aa8d5,"输入: c1-参数(REAL), A0-光学系统有效的通光面积(REAL), alphabeta-瞬时视场的立体角(REAL), epslon-像元的平均发射率(REAL), taoa-大气的光谱透过率(REAL), tao0-光学系统的光谱透过率(REAL), Dmax-对应的波长(REAL), T-参数(REAL), c2-参数(REAL), lemdamax-探测器的比探测率的峰值(REAL), Ad-参数(REAL), detaf-参数(REAL), theta-像元法线与像元和光学系统中心的连线之间的夹角(REAL), lemda2-参数(REAL), l-参数(INT), lemda1-参数(REAL) | 输出: double-系统信噪比(REAL)",,System Signal-To-Noise Ratio Model
914,1583a36a859b51bdfdac66f28e4abf26,系统动力学模型的回归模型群,,a2d0a21d-9c72-444a-8573-7b151daefebc,"输入: C0-回归系数0(REAL), C1-回归系数1(REAL), C2-回归系数2(REAL), C3-回归系数3(REAL), K-资本投入量(REAL), L_-劳动力投入量(REAL), E-残差修正(REAL) | 输出: double-系统动力学模型的回归模型群(REAL)",,Regression Model Group Of System Dynamics Models
915,a99648a0eaea8ce8c32099fda379639a,系统各分室元素状态方程,,7e01042a-49c9-40fa-a705-3836398e1c72,"输入: U0j-外界进入系统的元素量(REAL), F[]-分室i流入分室j的流通量(REAL_ARRAY), Fj[]-分室j流入分室i的流通量(REAL_ARRAY), Vi0-系统流出的元素量(REAL), j-分室号(INT), n-分室数(INT) | 输出: dxi_dt-营养元素关于时间的变化率(REAL)",,State Equations Of Elements In Each Compartment Of The System
916,c63809c662270feb3e92e82e82c1fa53,系统效率计算公式,,0f63c8b2-d0ca-4ddb-a7fe-ba11351f45dc,"输入: eg-几何因子(REAL), ea-大气传输因子(REAL), es-光谱因子(REAL), eq-光化学效率(REAL), ei-中途拦截效率(REAL), ed-扩散效率(REAL), er-呼吸作用因子(REAL) | 输出: double-系统效率(REAL)",,System Efficiency Calculation Formula
917,130d195cc3bb09f2e2c26aa382ed641a,系统状态模型,,29b7e3a5-3170-401b-bf74-3d37714f2146,"输入: Uj[]-营养元素从分室i流入分室j的流通率(REAL_ARRAY), Umj-营养元素从分室m流入分室j的流通率(REAL), Vj-从该部分流出的流通率(REAL), n-分室数(INT) | 输出: dXj_dt-系统状态(REAL)",,System State Model
918,393d37bbc8bd4a42ba3c083aea1dd223,系统的福利度量,,35a070c0-e30a-48cb-8913-ca4e303cfaac,"输入: y-居民收入(REAL), ui-系统中每位居民在行政管理上的赋税(REAL), ri-系统单位距离单位交通量的成本(REAL), di-平均旅行距离(REAL), p-价格指数(REAL), a-单位时间的价值(REAL), ti-平均旅行时间(REAL) | 输出: double-系统的福利度量(REAL)",,System Welfare Measure
919,6c58fa64c0befcb3e5bd050a9077403f,索雷森(Sorensen)定量相似指数,,a9a87cfe-3f53-4127-95ad-a9ebbc7ea35e,"输入: Nj-两个地方共同分类中每一类的最低个体数的总和(INT), Na-位置a的个体总数(INT), Nb-位置b的个体总数(INT) | 输出: CN-索雷森(Sorensen)定量相似指数(REAL)",,Sorensen Quantitative Similarity Index
920,4a8cb571e369702ee97652357d93a221,累积平均增产率,,62ac3bc5-dd25-4ad7-bda1-03b279923af9,"输入: X-[in](REAL_ARRAY), n-时间年数(INT) | 输出: R3-累积平均增产率(REAL)",,Cumulative Average Yield Increase Rate
921,225ab92f13b68801a0e457fbced1f41c,约束性回归模型,,f8c76a21-bc52-4afe-aaba-fb4c3e620cb1,"输入: pp-线性回归系数(REAL), qq-线性回归系数(REAL), kk-线性回归系数(REAL), Ti-AVHRR波段4的卫星亮度温度(REAL), Tj-AVHRR波段5的卫星亮度温度(REAL) | 输出: TS2-地表温度的回归估计值(REAL)",,Constrained Regression Model
922,7c23e960c908a76de0d6f602e984346a,纹理特征模型,,eac5fbe5-8709-4dac-94ca-3675d2eb2464,"输入: V-[in](REAL_ARRAY), V1-窗口中的亮温平均值(REAL), i-窗口(REAL) | 输出: S4-返回值(REAL)",,Texture Feature Model
923,8448bcf8b26539eeb47cb30b82116bfc,线性最小二乘平滑法,,c2b0d652-638f-49ad-af8e-3858c0e77649,"输入: sLamda-参数(REAL), nLamda-参数(REAL) | 输出: rLamda-光谱观测值(REAL)",,Linear Least Squares Smoothing Method
924,01441514c4b45ca304b6f0dfdfae78a9,细分光谱特征参量松毛虫害判别模式,,5ee31770-de0a-4215-a7f8-dd4547e6c5f3,"输入: fi[5]-判别函数(REAL_ARRAY), fa-最大值(REAL), ii-第ii类(INT) | 输出: Pi-样品属于第i类的后验概率(REAL)",,Discrimination Model Of Pine Caterpillar Pests Based On Subdivided Spectral Characteristic Parameters
925,16896be3d0b3462148c2aebec15764eb,经济净现值计算公式,,7f6fba5b-7ab7-472d-9223-48ba9d43f482,"输入: C_i-现金流入量(REAL_ARRAY), C_o-现金流出量(REAL_ARRAY), i_c-社会折现率(REAL_ARRAY), t-第t年(REAL) | 输出: double-经济净现值(REAL)",,Economic Net Present Value Calculation Formula
926,65650f7054e911432d04eb2ecb3f8118,经济承载量测算模型,,99cd8524-4d19-407b-8c36-5949a0991cea,"输入: i-经济要素的个数(INT), Ss-经济要素的日供给量(REAL_ARRAY), Dd-经济要素的人均日需求量(REAL_ARRAY) | 输出: double-经济承载量(REAL)",,Economic Carrying Capacity Calculation Model
927,b7fc1cc615232063d3fc6fd801aa7081,经济补偿模型,,bcee4150-70ba-46c4-9288-bb6ec8049b50,"输入: Vj-单位面积上由第j类植被所调节的径流量(REAL), Sok-单位面积上由第k类土壤所调节的径流量(REAL), Sll-单位面积上由第l类坡面所调节的径流量(REAL), Ai-该地块面积(REAL), B-土地所有者从单位径流量产生的电力中所获得的收益(REAL) | 输出: CPi-该地块的土地所有者获得的经济补偿(REAL)",,Economic Compensation Model
928,e075d4f2f200a45f6b4146d615dc7825,经济资源综合指数,,c36456eb-14d0-4495-8a10-31c91ba1b1d5,"输入: x1-经济总规模(REAL), x2-资产存量(REAL), x3-资金供给能力(REAL), x4-技术水平(REAL), x5-工业化水平(REAL) | 输出: double-经济资源综合指数(REAL)",,Economic Resources Comprehensive Index
929,f327747447f88e0c1d18526c92b62075,经验数据拟合的目标函数修正数,,467340a0-4d1d-4658-9d02-adef64815830,"输入: rr[]-给定的扫描角度及太阳角度的直接反射率(REAL_ARRAY), rjm-几何类比模型的估计值(REAL), n-样本数(INT), x[]-参数值(REAL_ARRAY), xkb-参数极限值(REAL), p-限制条件的数目(INT), wk-惩罚权重(REAL) | 输出: double-经验数据拟合的目标函数修正数(REAL)",,Objective Function Correction Number For Empirical Data Fitting
930,c2ad9b7411e2ceaf66c38042589e1ff3,结构变动因素对能源消费增长的影响模型,,633a1bbe-bca1-48fc-b6c4-add5acbc4254,"输入: P-总产值(REAL), a-单个工业占总产值的比重(REAL_ARRAY), e_io-能源利用率(REAL_ARRAY), n-n(REAL) | 输出: double-结构变动因素对能源消费增长的影响(REAL)",,Model Of The Impact Of Structural Change Factors On Energy Consumption Growth
931,32037b1ad8a1fafbd8d93ce9ef9399ad,给定物种的年吸收营养需要模型,,3cbf9502-57d5-4a77-b326-6e62f58ab7f1,"输入: Gapi-物种i的可能生长率(REAL), Cei-物种i的新的生物量的平均营养成分浓度(REAL), Cii-物种i从内部循环中获取的年净营养成分(REAL), Cui-物种i通过树冠直接从降水或透过植被的降水中吸收的营养成分(REAL), Li-总的叶面年营养成分溶淋率(REAL) | 输出: Udi-给定物种的年吸收营养需要量(REAL)",,Model Of Annual Absorbed Nutrient Requirements For A Given Species
932,db1fdf2166b91e2deb85a62dacb53367,绝对湿度模型,,676bbda8-80a1-439c-af73-d9c70a6eb57a,"输入: ea-水汽压力(REAL), Mm-水的分子质量(REAL), R-普适气体常数(REAL), T-绝对温度(REAL) | 输出: X-绝对湿度(REAL)",,Absolute Humidity Model
933,78dcf7237dd5da736c8e194d85b589f1,绝对灾级,,f730a809-e38c-44d7-8403-f34727356641,"输入: N-指标实际的灾情统计(REAL_ARRAY), n-指标个数(INT) | 输出: double-绝对灾级(REAL)",,Absolute Disaster Level
934,6dd68969362a9ae662a2c93a5814520d,绝对距离模型,,9c68f30b-3705-439c-9215-9fe32c7c008a,"输入: xk-固定样品(REAL), xj-任意给定的样品(REAL) | 输出: Djk-绝对距离(REAL)",,Absolute Distance Model
935,d2295f720b7d08706d42a24ee83d1c41,综合信噪比Snr模型,,41bc3789-cd0d-4c74-a322-e6b286ae2d7a,"输入: Pr-激光脉冲信号功率(REAL), q-参数(REAL), Pb-噪声功率(REAL), R0-参数(REAL), id-参数(REAL), F-APD的额外噪声因子(REAL), B-探测器带宽(REAL), iA-参数(REAL), M-参数(REAL) | 输出: double-综合信噪比(REAL)",,Comprehensive Signal-To-Noise Ratio Snr Model
936,cc9cdf66719e4da2bc7e13ef4608ecb1,综合信息矿产预测模型,,9596a86f-066e-47ec-987e-c3c314b5cddd,"输入: W-变量Vi的权(REAL_ARRAY), V-变量(REAL_ARRAY), n-总数(INT) | 输出: double-综合信息矿产预测(REAL)",,Comprehensive Information Mineral Prediction Model
937,8fd4873d8a0775e81a17b812a6c7a964,综合修正指数的隶属度函数,,4fc0cd01-d34f-42fc-adff-c1fff4166b96,输入: x-x(REAL) | 输出: double-综合修正指数的隶属度函数(REAL),,Membership Function Of Comprehensive Correction Index
938,fb308c105692c82dd7f8b1878a7f4c77,综合经济效果静态指标,,b1cf5ec3-12af-4971-b46b-84273ee68ddf,"输入: n-第n段分摊(REAL), A-实际使用在的段的输水工程投资(REAL_ARRAY), Wtotal-第i段至最终端的总供水量(REAL), Wn-第n段的供水量(REAL) | 输出: double-综合经济效果静态指标(REAL)",,Comprehensive Economic Effect Static Indicators
939,86a46000d87c17f315d3f991db56ea11,综合草害指数模型,,b49c39d8-17cf-46e7-832f-930dea2c62e9,"输入: s[]-草害等级校方数(REAL_ARRAY), v[]-草害等级代表值(REAL_ARRAY), n-调查该类型群落的总样方数(REAL), l-最高危害级(REAL) | 输出: I-综合草害指数(REAL)",,Comprehensive Weed Damage Index Model
940,9646d401a0f96fb4a132ea94547d5999,绿度值Idv与叶面积指数Ila的关系式,,2905de59-d089-40f0-9080-92941fe4309f,"输入: a2-回归参数(REAL), b2-回归参数(REAL), Ila-叶面积指数(REAL) | 输出: Idv-绿度值(REAL)",,The Relationship Between Greenness Value Idv And Leaf Area Index Ila
941,c6a725b228d8c889ba0ee5d069f347cb,绿度公式,,9a2d4f99-426c-4d3b-877b-04638596a85e,"输入: rouv1-通道一植被光谱量反射率(REAL), roul1-通道一土壤光谱量反射率(REAL), rouv2-通道二植被光谱量反射率(REAL), roul2-通道二土壤光谱量反射率(REAL), S-叶面覆盖度(REAL), tauv-植被光谱透过度(REAL) | 输出: double-绿度(REAL)",,Greenness Formula
942,d2f84b6cda6b9d7f41933602078c21eb,绿度模式一,,c821af56-b26b-45cc-a51a-954f8e6c2f4e,"输入: MSS7--0.81—1.1μ的平均反射率(REAL), MSS5-0.6—0.7μ的平均发生率(REAL) | 输出: re-绿度值(NODE)",,Greenness Mode One
943,7ff5f3ec0db70069b44513e1e46e9d19,绿度模式二,,7731622e-9e1a-4f9b-a622-3566cdab16f8,"输入: TM4-0.76—0.96μ的平均反射率(REAL), TM2-0.52—0.60μ的平均反射率(REAL) | 输出: re-绿度值(NODE)",,Greenness Mode Two
944,0194f6c10509dc945170c360492ca4ee,绿色植物叶片的潜热通量,,7136d0d8-696d-436f-a949-20b2611aa627,"输入: aPT-Prietley-Taylor系数(REAL), fg-绿色叶片的比例(REAL), del-温度饱和水蒸气压曲线的斜率(REAL), r_-湿度计常数(REAL), Rnc-植物冠层的净辐射(REAL) | 输出: double-绿色植物叶片的潜热通量(REAL)",,Latent Heat Flux Of Green Plant Leaves
945,57b5d9336b8da4f618d79eb1de243441,羊草种群地上部分生物量模型--羊草种群地上部分生物量的增长速率,,84f27e2c-8906-4451-b748-ac2f3406a559,"输入: Wi_-ti_时刻的生物量(REAL), Wi-ti时刻的生物量(REAL), ti_-时刻(REAL), ti-时刻(REAL) | 输出: default_N-G(REAL)",,Aboveground Biomass Model Of Leymus Chinensis Population--Growth Rate Of Aboveground Biomass Of Leymus Chinensis Population
946,cfb526fd6486dbe8a97836f7df4fdb3b,羊草种群地上部分生物量模型--羊草种群地上部分生物量的季节动态,,ca0e1171-404f-444e-8bda-be0f0f234dad,"输入: Bss-该生境条件下可达到的生物量极大值(REAL), e-自然对数的底(REAL), a-常数(REAL), k-生长常数(REAL), t-生长发育天数（自返青之日起）(REAL) | 输出: Bt-某时刻的生物量(REAL)",,Aboveground Biomass Model Of Leymus Chinensis Population--Seasonal Dynamics Of Aboveground Biomass Of Leymus Chinensis Population
947,54eb42ab23c29868c6491a5a362be178,羊草群落优势度模型,,34c4b76c-eafc-4968-bfd5-fc31e162b4e4,"输入: Ym-理论上优势度充许变化的最大值(REAL), X1-盐度(REAL), X2-土壤非毛管孔隙度(REAL), C-可生存的最低本底优势度(REAL), A-参数(REAL), a-参数(REAL), b-参数(REAL), d-参数(REAL) | 输出: double-羊草群落优势度模型(REAL)",,Leymus Chinensis Community Dominance Model
948,5f802f7b39468f9d3930fd447bff0825,群落之间的相似性指数I模型,,8de6bf88-0cda-4ba6-81ee-fd09f1bbb21d,"输入: a-A生境的种类数(REAL), b-B生境的种类数(REAL), c-A，B两生境共同的种类数(REAL) | 输出: double-群落之间的相似性指数(REAL)",,Similarity Index I Model Between Communities
949,4a5ce8847398493578abba8552926a66,群落均匀度R模型,,1499bc7a-4a7e-4638-9b1b-4002f228b43b,"输入: P[]-第i个物种的比例(REAL_ARRAY), S-第i个物种相应的物种总数(REAL), n-物种数(INT) | 输出: R-群落均匀度(REAL)",,Community Evenness R Model
950,0aa7f1360744a442a2ce95475efda027,群落垂直空间盖度分布波动度模型,,ce4579f4-f26d-4d02-a460-e8bd7231222b,"输入: HCfR[]-高度级数(REAL_ARRAY), CfR-N到N+1级盖度波动速率(REAL), K-参数(INT) | 输出: CCFR-群落垂直空间盖度分布波动度(REAL)",,Fluctuation Model Of Community Vertical Spatial Coverage Distribution
951,a944cc9b1b6d6a19d70d218307d2a688,群落整体失稳率V模型,,9cdf8797-7344-4743-9593-f72c0a0ba97d,"输入: NO1-第1高度级种群个体数(INT), NOk-第k高度级种群个体数(INT), NO[]-第n高度级种群个体数(INT_ARRAY), K-高度级数(INT) | 输出: V-群落整体失稳率(REAL)",,Overall Community Instability Rate V Model
952,251e29b6f9d82a3d1c57fbe013d64271,群落日蒸腾强度,,6d0b9a57-ef99-4035-add7-e76b39e17889,"输入: T[]-i植物种日蒸腾强度(REAL_ARRAY), P[]-i植物种生物量比率(REAL_ARRAY), N-植物种总数(INT) | 输出: Ts-群落日蒸腾强度(REAL)",,Community Daily Transpiration Intensity
953,1777a8e33484ef51c55e04753174067b,群落相似系数,,cdc55768-8457-463f-9699-e13af4160fec,"输入: a-A底质的种数(REAL), b-B底质的种数(REAL), c-A,B底质共有种的数量(REAL) | 输出: double-群落相似系数(REAL)",,Community Similarity Coefficient
954,867831a8ad798467758c5a2c7d2959f3,群落系数-面积曲线模型1,,28ef6b4b-8c65-457e-b110-62b158c754e5,"输入: Cc-群落系数(REAL), a-待定参数(REAL), b-待定参数(REAL) | 输出: A-面积(REAL)",,Community Coefficient-Area Curve Model 1
955,054b74a3ff91f6ff0286b8a41311bb4f,群落系数-面积曲线模型2,,d0e19ca3-1864-4e82-991a-a1cc854f6321,"输入: Cc-群落系数(REAL), a-待定参数(REAL), b-待定参数(REAL) | 输出: A-面积(REAL)",,Community Coefficient-Area Curve Model 2
956,5bc8fafbcbdf723d024b0fbe27ca99f0,群落系数-面积曲线模型3,,c2e614c7-8eea-470e-97fa-21913d8d892c,"输入: Cc-群落系数(REAL), a-待定参数(REAL), b-待定参数(REAL) | 输出: A-面积(REAL)",,Community Coefficient-Area Curve Model 3
957,437d56b39eeea9dab027e6c926b60e3c,群落系数-面积曲线模型4,,ab6ee3d8-9130-4003-a5b7-940f7e831815,"输入: Cc-群落系数(REAL), a-待定参数(REAL), b-待定参数(REAL) | 输出: A-面积(REAL)",,Community Coefficient-Area Curve Model 4
958,3484721bbc9e2293cfd4a88829c01a33,群落系数-面积曲线模型5,,93a3c0cd-b6be-42d3-8afd-4d22aa6c3c2f,"输入: Cc-群落系数(REAL), a-待定参数(REAL), b-待定参数(REAL) | 输出: A-面积(REAL)",,Community Coefficient-Area Curve Model 5
959,04aee4c89fbfe4c04b6e21551f2a6939,群落系数CC,,116f441e-c1df-4fca-abd2-ea669c7d1c49,"输入: nc-两群落的共有种数(REAL), n1-群落1拥有的种数(REAL), n2-群落2拥有的种数(REAL) | 输出: double-群落系数CC(REAL)",,Community Coefficient CC
960,e4e7f34aeef64c23c5f2c40f8476edd2,群落蒸发速率E,,1e099d23-2c93-48ed-aa3d-6c31421ba3b0,"输入: W1[]-未封石蜡土柱重量的日变化(REAL_ARRAY), W2[]-封石蜡土柱重量的日变化(REAL_ARRAY), S-土柱地表面积(REAL), n-该期内测定的日数(INT) | 输出: double-群落蒸散速率(REAL)",,Community Evaporation Rate E
961,0de62b65372cadcc29295ef315173adf,群落蒸散耗水量Erm模型,,6d98a481-f744-4f27-9193-c330bce764d8,"输入: ET-晴天条件下群落的蒸散速率(REAL), D-月份内的晴天日数(INT), d-月份内的阴天日数(INT), r-月份内的雨天日数(INT), a-阴天与晴天条件下蒸散速率的比值(REAL) | 输出: Erm-群落月蒸散耗水量(REAL)",,Community Evapotranspiration Water Consumption Erm Model
962,a2c35669b84bc113fe013255d453e0b5,群落蒸腾耗水量Trm模型,,14bc47b7-8544-4cba-a52b-6f383cd37c76,"输入: Tr-晴天条件下群落的蒸腾速率(REAL), D-月份内的晴天日数(INT), d-月份内的阴天日数(INT), r-月份内的雨天日数(INT), a-阴天与晴天条件下蒸腾速率的比值(REAL) | 输出: Trm-群落月蒸腾耗水量(REAL)",,Community Transpiration Water Consumption Trm Model
963,dddf7e304f52dc2eed5af54d87c37c4b,群落间的相似性指数I模型,,5158b812-9659-4edb-990b-f95a812a5f48,"输入: a[]-物种个体数在a群落中的比例(REAL_ARRAY), b[]-物种个体数在b群落中的比例(REAL_ARRAY), s-a,b两群落中的相对种数(REAL) | 输出: Is-相似指数(REAL)",,Similarity Index I Model Between Communities
964,7fb3bbf9518dcd3233e37a25f786cec3,群落阶段蒸腾耗水量WT,,d38adeae-3010-4afa-97b2-1d73b0d6a166,"输入: T[]-第i日的群落日蒸腾强度(REAL_ARRAY), G[]-第i日的群落绿色生物量(REAL_ARRAY), N-总天数(INT) | 输出: WT-群落阶段蒸腾耗水量(mm)(REAL)",,Transpiration Water Consumption WT In Community Stage
965,95fb977c338d40503adb151c7d8cc50b,耕地生态背景质量指数,,b0043e01-19ee-4b1a-a6f2-5eaee190a33c,"输入: Q-[in](REAL_ARRAY), A-[in](REAL_ARRAY), n-生态级数(REAL), S-行政单元的面积(REAL) | 输出: QI-耕地生态背景质量指数(REAL)",,Cultivated Land Ecological Background Quality Index
966,34491bad013369bb08af29b0fae5aaf5,联合空间相关性,,257953a6-8fbf-4de2-bf80-a4a239ae3693,"输入: h-距离(INT), Z-[in](REAL_ARRAY), Z2-[in](REAL_ARRAY), n-距离为n的样品数(REAL) | 输出: gam12-联合空间相关性(REAL)",,Joint Spatial Correlation
967,68dd883ed0c5f57d6b3ab7de27e615fb,聚块性指数PI模型,,49598a9a-6517-4402-85de-7e6634da603c,"输入: mx-平均拥挤度(REAL), m-群落格局拥挤度(REAL) | 输出: PIi-聚块性指数(REAL)",,Clumping Index PI Model
968,6a6a8fd6bafb0a065c25926948ec820a,胁迫相关植被指数,,e266e4dd-44be-4ede-b0ab-d21270ad8e52,"输入: TM5-TM5反射率(REAL), TM4-TM4反射率(REAL), TM3-TM3反射率(REAL) | 输出: STVI-胁迫相关植被指数(REAL)",,Stress Related Vegetation Index
969,1d530c8c8910f28af01719c2ed7c89c9,胶带内热量平衡模型,,70e217cc-d436-4735-b614-278daede7d49,"输入: P-感热(REAL), LE-潜热(REAL), Qs-土壤热通量(REAL) | 输出: double-胶带内热量(REAL)",,Heat Balance Model In Tape
970,759f65b64ffff4ca9f0c9aaa4226a884,胶带内辐射平衡模型,,99e0de9e-106b-4616-9f31-532638bc72c1,"输入: A-胶带地表反射率(REAL), Q-胶带内太阳总辐射(REAL), F-地面有效辐射(REAL) | 输出: double-胶带内辐射量(REAL)",,Radiation Equilibrium Model Within Tape
971,c22399821a07d6a62c24f2df48de47f1,能量品质因数Q,,c0b530f5-9201-4d2a-870d-b641f2699164,"输入: k-常量(REAL), Is-单位能量所含的结构信息量(REAL), Ie-单位能量所含的效用信息量(REAL) | 输出: double-能量品质因数Q(REAL)",,Energy Quality Factor Q
972,0dd4db635d12c26ba5982230a60faca9,能量平衡方程,,eaf7b7e9-6de0-42a7-8910-7896d85c139c,"输入: Eximpi-外界输入能量(REAL), Exi[]-其他成分向i成分流入的能量流率(REAL_ARRAY), Ex[]-从j成分向其他成分流出的能量流率(REAL_ARRAY), Exdissj-j成分能量耗散率(REAL), M-向i成分流入的其他成分数(INT), N-由j成分流入的其他成分数(INT) | 输出: dExi_dt-生态网络中某种成分的生物能关于时间的变化率(REAL)",,Energy Balance Equation
973,51f06bf8a7b77096649f89863d860292,能量收支方程,,a564b6ec-81cc-4f9f-b1c7-41300b78e09a,"输入: R-湖面反射的辐射能(REAL), E-水体蒸发耗能(REAL), T-水体增温耗能(REAL), A-水体与大气之间热量交换过程中的能量损失(REAL), B-水体与湖底间热量交换过程中的能量损失(REAL), P-水生植物光合作用耗能(REAL), I-融冰耗能(REAL) | 输出: QSR-湖体接受的总辐射能(REAL)",,Energy Budget Equation
974,6a77aa10ed6792c552ff17c21f42583d,能量的最小耗散率模型,,5de157f7-c4a5-4581-9f38-7541eecf3135,"输入: Exdiss[]-i成分能量耗散率(REAL_ARRAY), Ex[]-生态网络中i成分的生物能(REAL_ARRAY), n-成分数(INT) | 输出: Exdissmin-能量的最小耗散率(REAL)",,Minimum Dissipation Rate Model Of Energy
975,d6a26cf8b064fd0e972086ea6cf80cc4,腐殖质变化模型,,cece943b-37d0-4c76-8e67-96d080f58de2,"输入: Pr-直接被微生物分解的根中氮的死亡比例(REAL), dr-参数(REAL), G-草地(REAL), IO-每年从降雨中输入的有机氮(REAL), dO-每年腐殖质的分解率(REAL), O-腐殖质(REAL) | 输出: dO_dt-腐殖质随时间变化率(REAL)",,Humic Substance Change Model
976,9ebbb9d763991c8ff4886bf08bba23d6,自回归和非线性回归并联混合回归模型--拟合残差平方和函数模型,,915d7f5b-c6de-4787-b29b-7f75c7a37813,"输入: p-自回归的阶数(INT), n-参数(INT), yt-夜光藻自身增长的种群密度(REAL), a-a[i]为自回归系数(REAL_ARRAY), y-参数(REAL_ARRAY), ut-控制变量(REAL) | 输出: Sab-拟合残差平方和(REAL)",,Autoregressive And Nonlinear Regression Parallel Mixed Regression Model - Fitting Residual Sum Of Squares Function Model
977,84a8192a05d81c10e740db919a10538c,自然致灾因子多度,,a8f7329b-3ea4-4478-857b-e50f6eca2355,"输入: n-某县域自然致灾因子数(REAL), N-全国自然致灾因子数(REAL) | 输出: double-自然致灾因子多度(REAL)",,The Abundance Of Natural Disaster Factors
978,3950e8ebd45b4673905f01f92ffaaecb,自然资源人均拥有量综合指数,,d89eea31-e175-463a-8d15-ee1b609006d3,"输入: x1-某自然资源人均拥有量指数(REAL), x2-某自然资源人均拥有量指数(REAL), x3-某自然资源人均拥有量指数(REAL), x4-某自然资源人均拥有量指数(REAL) | 输出: double-自然资源人均拥有量综合指数(REAL)",,Comprehensive Index Of Per Capita Possession Of Natural Resources
979,cb4c01d6b0ac67bf83515befc2fc1375,范力农定理,,8fcf29d9-36f9-4e87-8c9f-94c77a284fc6,"输入: R[]-市区中心小区居民数(REAL_ARRAY), d[]-每个小区小心到理想中心点的距离(REAL_ARRAY), n-市区中心小区个数(INT) | 输出: double-范力农铜心(REAL)",,Fan Linong's Theorem
980,77ccf07a17947b62a589c6a1ed647845,草地变化模型,,f3f4f0cc-a43c-4757-8c1c-6716b2ab25d3,"输入: u-每年没单位G和N的草吸收的矿化氮的滤去率(REAL), N-土壤矿化氮的含量(REAL), G-草地(REAL), a-每年每单位G上根瘤菌对空气中氮的同化作用(REAL), bs-每单位G的嫩芽的枯萎率(REAL), ds-指与芽死亡率相对应的植物死亡率(REAL), dr-参数(REAL), c-草食动物每年对草的消耗率(REAL) | 输出: dG_dt-草地关于时间的变化率(REAL)",,Grassland Change Model
981,4c44149ccf74dd820bdca0fa7771fc28,草的均衡生物量模型,,99d6431c-0dce-4b19-a0ed-265671b12071,"输入: Sn-生态系统中氮的净输入量(REAL), lnN-矿化氮的滤去值(REAL), mp-植物的碎石产出率(REAL), betap-氮沿种植路径损失的部分(REAL), betah-氮沿两条路径所损失的部分(REAL), c-草食动物每年对草的消耗率(REAL) | 输出: G-草的均衡生物量(REAL)",,Equilibrium Biomass Model Of Grass
982,db1d5481671205f792b8552e49cf5778,菲律宾蛤仔的种群动态模型--壳长生长模型,,6e27697e-e110-4404-9fef-63276648d7ee,"输入: L1-为Lt的最大值(REAL), k-为曲率(REAL), tm-为m个月龄(REAL), t0-为理论起始月龄(REAL), e-参数(REAL) | 输出: Lt-壳长(REAL)",,Population Dynamics Model Of Philippine Clam-Shell Length Growth Model
983,2b58242517ed890080773de8894c39c5,菲律宾蛤仔的种群动态模型--生长速度模型,,651304e1-21af-4c8a-a9a9-2b1354882582,"输入: tm-为m个月龄(REAL), e-参数(REAL) | 输出: dLdt-生长速度(REAL)",,Population Dynamics Model Of Philippine Clam - Growth Rate Model
984,730b95fe9de615f0874bfba7fcde4bc3,营养动力学基本方程,,0d67b990-a363-4e44-b2a0-f542d1a60663,"输入: Y-资源利用者密度(REAL), X-资源密度(REAL), Kx-米氏常数(REAL), Ux-资源利用者增值速度参数(REAL) | 输出: double-营养动力学方程(REAL)",,Basic Equations Of Nutritional Kinetics
985,5bd98ce224cbf24215b68c63ed2a6def,落叶分解率计算公式,,ff373f9c-3f75-44e9-a631-5bcb70f1b8ed,"输入: OMp-原生的、专设的样本的无灰有机质数量(REAL), Sp-样品放置时的质量(REAL), Sr-样品回收时的质量(REAL), Cp-空瓶放置时的质量(REAL), OMr-回收的样本的无灰有机质数量(REAL) | 输出: FallenLeavesDissociateRate-落叶分解率(REAL)",,Formula For Calculating The Decomposition Rate Of Fallen Leaves
986,1672eec2ed56e505e43dba4b0853cd67,落叶质量损失模型,,cb7d31ee-6e27-44ed-a031-8c8fc814ab7f,"输入: Wc-落叶残存量(干重)(REAL), Wm-落叶分解前埋入量(干重)(REAL) | 输出: Q-落叶质量损失(REAL)",,Fallen Leaf Mass Loss Model
987,9cc7345366800c9dc97bb1e013ba756f,蒸发率的遥测模型,,96b4dda7-977a-4ba4-a2cb-918c1cc32f6c,"输入: Rn-净辐射通量密度(REAL), G-土壤热量通量密度(REAL), H-县热通量密度(REAL) | 输出: LE-潜热通量密度(REAL)",,Telemetry Model Of Evaporation Rate
